id,goodsCode,goodsCodeType,goodsBasicName,goodsBasicType,goodsBasicDesc,goodsMerchantId,merchantName,merchantPersonName,goodsUnit,goodsSize,goodsPrice,goodsGuaranteeLength,useGoodsCount
1047,6.92586E+12,NULL,奥丽颜柔滑香水沐浴露（COCO香）750ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*18,1,3,0
1054,6.92832E+12,NULL,满婷滋润柔肤香皂,1,NULL,86,重庆市展鹿商贸有限公司,NULL,块,100g*72,1,3,1054
1056,6.93096E+12,NULL,春纪杨梅保湿水凝乳100g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*36,1,5,1056
1063,6.93096E+12,NULL,春纪葡萄籽原液保湿面膜6片,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*36,1,5,1063
1065,6.93096E+12,NULL,春纪红石榴原液紧致面膜6片,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,1*36,1,2,1065
1070,6.93096E+12,NULL,春纪表情包清新控油面膜5片,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,1*36,1,2,1070
1072,6.93096E+12,NULL,春纪表情包保湿修护面膜5片,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,1*36,1,2,1072
1079,6.93096E+12,NULL,春纪大葡萄保湿超值套装80g+160ml+130g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,1*6,1,4,1079
1081,6.93096E+12,NULL,春纪摩登昼夜洁面拍档160g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*36,1,5,1081
1088,6.93117E+12,NULL,HC12“有氧茶净”10片日棉,1,NULL,86,重庆市展鹿商贸有限公司,NULL,包,10*24,1,3,1088
1090,6.93117E+12,NULL,HC15“有氧茶净”25片棉面护垫,1,NULL,86,重庆市展鹿商贸有限公司,NULL,包,25*24,1,3,1090
1095,6.93117E+12,NULL,HC Q-01精纯橄榄10片日用,1,NULL,86,重庆市展鹿商贸有限公司,NULL,包,8*24,1,3,1095
1097,6.93117E+12,NULL,HC Q-03精纯橄榄20片护垫,1,NULL,86,重庆市展鹿商贸有限公司,NULL,包,20*24,1,3,1097
1104,6.9314E+12,NULL,一叶子植物酵素多效弹润平滑柔肤面膜25ml/片*5,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,8*6,1,4,1104
1106,6.9314E+12,NULL,一叶子植物酵素多效清颜净肤炭黑面膜25ml/片*5,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,8*6,1,4,1106
1113,6.9314E+12,NULL,一叶子白茶水润焕采蝶翼眼膜7ml*10片,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,8*6,1,4,1113
1115,6.9314E+12,1,一叶子植物酵素多效水漾滢润保湿面膜,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*1,1,3,1115
1120,6.9314E+12,NULL,韩束紫竹细肤平衡水175ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,8*6,1,5,1120
1122,6.9314E+12,NULL,韩束紫竹细肤平衡霜50g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,8*6,1,5,1122
1129,6.93189E+12,NULL,善草纪茉莉花保湿水养礼盒,1,NULL,86,重庆市展鹿商贸有限公司,NULL,套,1*6,1,3,1129
1131,6.93189E+12,NULL,善草纪大马士革玫瑰邂逅礼,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,1*6,1,3,0
1138,6.93189E+12,NULL,善草纪大马士革玫瑰亮采眼部精华凝露15ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,2*6,1,3,1138
1140,6.93189E+12,NULL,善草纪玫瑰锁水睡眠面膜85g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*12,1,3,1140
1145,6.93189E+12,NULL,善草纪茉莉花保湿水养乳液130ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,2*6,1,3,1145
1147,6.93189E+12,NULL,善草纪茉莉花锁水修护精华液30ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,2*6,1,3,1147
1154,6.93189E+12,NULL,善草纪澳洲茶树深层净透洁面膏120g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,2*6,1,3,1154
1156,6.93189E+12,NULL,善草纪澳洲茶树控油保湿乳130ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,2*6,1,3,1156
1163,6.93189E+12,NULL,善草纪依兰紧致复颜精华露30ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,2*6,1,3,1163
1165,6.93189E+12,NULL,善草纪依兰紧致复颜精华面膜150g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,2*6,1,3,1165
1170,6.93189E+12,NULL,善草纪茉莉精油8ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1×6,1,3,1170
1172,6.93189E+12,NULL,善草纪明眸焕采复方精油10ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1×6,1,3,1172
1174,6.93189E+12,NULL,善草纪舒缓净化香薰油 10ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1×6,1,3,1174
1179,6.93189E+12,NULL,善草纪 精油保湿香体乳150g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,1179
1181,6.932E+12,NULL,东洋之花保湿美白营养水140ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,3*12,1,3,1181
1188,6.93224E+12,NULL,绿岛杀虫剂(清香)600ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1×24,1,3,1188
1190,6.93392E+12,1,丹姿他能量劲爽控油清痘洁面膏125g,1,,86,重庆市展鹿商贸有限公司,NULL,个,1×72,1,3,1190
1195,6.93392E+12,NULL,丹姿多效滋养洁面乳120g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1×24,1,3,1195
1197,6.93392E+12,1,丹姿海藻盈润水漾轻盈气垫CC霜,1,,86,重庆市展鹿商贸有限公司,NULL,瓶,1×24,1,3,1197
3648,14.01.05.syz001,1,霞飞男士润唇膏（清新绿茶）试用装,1,,86,重庆市展鹿商贸有限公司,NULL,支,1*1,1,3,3648
3649,14.01.05.syz002,1,霞飞水果护唇膏（香橙味）试用装,1,,86,重庆市展鹿商贸有限公司,NULL,支,1*1,1,3,3649
3650,6.97095E+12,NULL,新起点纤丝护龈型牙刷,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*12支*12盒,5.8,5,3650
3651,6.97095E+12,NULL,新起点高效洁齿型牙刷,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*12支*12盒,3.9,5,3651
3665,6.97095E+12,NULL,新起点柔护沁爽型牙刷,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*12支*12盒,19.8,5,3665
3666,6.97095E+12,NULL,新起点双重呵护型牙刷,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,3*12套*12盒,23.8,5,3666
3667,6.97095E+12,NULL,新起点透爽深洁型牙刷,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,2*12套*6盒,23.8,5,3667
3668,6.97095E+12,NULL,新起点时尚软毛深洁型牙刷,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,2*12套*6盒,29.9,5,3668
3681,14.02.09.zp6944750430325,NULL,滋源商超茶籽控油去屑洗发水（油性）补充装235ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*24,1,3,3681
3682,14.02.09.zp6944750428582,NULL,滋源商超VIP茶籽去屑系列（油性）60ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,1*24,1,3,3682
3683,14.02.09.zp6944750431766,NULL,滋源盈润亮泽护卷弹力素150ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*35,1,3,3683
3684,14.03.18.wl006,1,相宜本草顾客汉服,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*1,1,3,3684
