id,storeName,storeAddress,storeCreatetime,storeUpdatetime,storePhone,storeDesc,storeArea,storeOrg,storePersonName,distributeType,channel,merchantName
814,石华艳片区,,40:10.7,NULL,1,,NULL,重庆永辉,石华艳,1,,NULL
815,陈丽片区,,42:21.6,NULL,1,,NULL,重庆永辉,陈丽,1,,NULL
817,杨星,,44:43.3,NULL,1,,NULL,分销客户,杨星,1,,NULL
818,绵阳CBD万达广场店,四川省绵阳市涪城区绵阳大道中段199号永辉超市,23:08.3,59:14.0,18898565816,四川绵阳市--绵阳CBD万达广场店,NULL,四川永辉,杨小云,2,中铁物流,NULL
819,新世纪永川五板桥店,永川渝西广场附近五板桥新世纪超市,53:24.3,05:19.5,15823203370,重庆商社新世纪百货连锁经营有限公司永川五板桥店,NULL,新世纪,费娟,2,中铁物流,NULL
820,庆荣大仓,,50:54.6,NULL,1,,NULL,庆荣大仓,1,1,,NULL
821,成都龙湖西宸天街店,四川省成都市金牛区一品天下大街与茶店子路交叉口永辉超市,33:55.7,57:59.1,15102880277,四川成都市--成都龙湖西宸天街店,NULL,四川永辉,张素琼,2,中铁物流,NULL
822,成都永辉大仓客情,成都市金牛区茶店子金府路九峰花园（大仓）,56:02.8,NULL,15184482273,,NULL,展鹿仓库,彭亚军,2,,NULL
823,四川宜宾市--宜宾万达广场店,四川省宜宾市叙州区航天路南段万达广场B1层永辉超市(宜宾万达广场店),10:45.6,18:49.7,15181113353,四川宜宾市--宜宾万达广场店,NULL,四川永辉,胡云洪,2,中铁物流,NULL
824,铜梁区铜梁商场重百店,铜梁区东城街道财富广场西路88号,08:12.8,58:43.2,152 1510 7684,重庆百货大楼股份有限公司铜梁商场-超市,NULL,重百,张兴燕,2,中铁物流,NULL
826,成都高新区南华路店,,55:12.4,10:37.7,1,成都高新区南华路店,NULL,四川永辉,1,2,中铁物流,NULL
827,九都,,56:12.6,NULL,1,,NULL,分销客户,1,1,,NULL
828,重百永川商场店（华贸店）,永川区昌州大道东段789号HMC华茂中心C馆重百永川商场超市华茂店,40:00.8,24:17.6,13996047484,重庆百货大楼股份有限公司永川商场-超市,NULL,重百,黄和文,2,中铁物流,NULL
829,新世纪綦江爱琴海（綦江新城）店,重庆市綦江区通惠大道爱琴海购物公园负一楼新世纪超市,58:01.9,54:07.8,18725789335,重庆商社新世纪百货连锁经营有限公司綦江爱琴海店（綦江新城店）,NULL,重庆新世纪,何凤莲,2,中铁物流,NULL
830,新世纪荣昌东邦店,荣昌东邦城市广场新世纪超市,34:37.4,49:45.0,13696455303,重庆商社新世纪百货连锁经营有限公司荣昌东邦店,NULL,新世纪,雷杨,2,天天快递,NULL
831,涪陵区泽胜广场,重庆市涪陵区兴华路25号,17:02.8,51:13.1,13996724228,重庆涪陵区--泽胜广场店,NULL,重庆永辉,谭会英,2,中铁物流,NULL
832,江北区新世纪金山大道店（万科城）,重庆市渝北区北部新区金山大道新世纪百货金山大道店,01:20.8,20:49.6,13527493554,重庆商社新世纪百货连锁经营有限公司金山大道店（万科城）,NULL,重庆新世纪,严大英,1,,NULL
833,荣昌惠又多超市,重庆荣昌区邦德太平洋广场惠又多超市,34:36.5,09:16.8,13883604569,包场荣昌惠又多超市,NULL,包场,苟家琴,2,金环物流或迪丰物流,NULL
834,沃尔玛渝北区回兴店,,03:33.8,49:36.7,1,沃尔玛购物广场重庆回兴分店,NULL,沃尔玛,1,1,,NULL
835,成都喜港城店,四川省成都市高新区中柏大道与中胜路交汇处永辉超市,55:46.0,35:19.5,13981717435,四川成都市--成都喜港城店,NULL,四川永辉,李志彬,2,中铁物流,NULL
836,金未来,,52:18.5,NULL,1,,NULL,分销客户,1,1,,NULL
837,平昌华联超市,四川巴中平昌县新平街77号华联超市,37:40.9,44:40.0,18282714946,包场平昌华联超市,NULL,包场,罗群林,2,通重天鹤万顺,NULL
